"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","I1 H16 ANG","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","3944","4200"
"1555348958360","04/15/19  17:22:38.360   ","5","-28.9","2.486","13.8","1.4","1.773","100","12.7","0.72","1.19","4.81","1.13","0.44","0.46","0.33","0","0.4","0","0","0","0","0","0","-29.9","-57.2","-43.3","-94.6","123.3","59.5","-44.3","34.1","0","0","-73","0","0","0","0","0","0"
"1555348959165","04/15/19  17:22:39.165   ","5.04","-28","2.486","13.7","1.4","1.778","100","12.96","0.86","1.1","4.3","1.1","0","0.35","0.24","0","0.44","0","0","0","0","0","0","-29.9","-34.3","-70","-76.2","108.8","92.3","0","61.2","64.4","0","-80","0","0","0","0","0","0"
"1555348960343","04/15/19  17:22:40.343   ","5.1","-30.1","2.503","13.8","1.4","1.738","100","12.81","1.55","0.93","4.98","1.35","0.81","0.44","0.34","0","0.48","0","0","0","0","0","0","-28.2","175.9","-150","104","112.7","-45.5","-95.6","-58","143","0","-103.1","0","0","0","0","0","0"
"1555348961160","04/15/19  17:22:41.160   ","5.03","-28.9","2.512","14.4","1.4","1.74","100","12.66","1.2","1.13","5.07","1.23","0.69","0.45","0.36","0","0.46","0","0","0","0","0","0","-27.5","-164.9","-126.4","100.5","115.8","-20.1","-88","-38.7","164.4","0","-100.1","0","0","0","0","0","0"
"1555348962347","04/15/19  17:22:42.347   ","5.12","-27.9","2.525","13.7","1.4","1.772","100","13.32","2.19","0.36","4.73","1.52","1.2","0.56","0.3","0.2","0.35","0","0","0","0","0","0","-27.9","43.1","-87.3","-97.6","114.1","-171.7","-87.4","161.8","-164.4","0","-86.7","0","0","0","0","0","0"
"1555348963168","04/15/19  17:22:43.168   ","5.13","-29.6","2.528","13.8","1.4","1.75","100","13.39","2.37","0.38","4.51","1.58","0.96","0.52","0.28","0","0.37","0","0","0","0","0","0.2","-28.3","60.7","-75.7","-123.4","111.6","-156.5","-77.5","-175.2","-135.4","0","-93.8","0","0","0","0","0","-61"
"1555348964347","04/15/19  17:22:44.347   ","5.05","-27.9","2.516","13.8","1.4","1.799","100","13.59","1.44","0.85","4.3","1.01","0.93","0.37","0","0","0.5","0","0","0","0","0","0","-29.1","-97.2","-74.4","-28.8","111.1","36.6","-72.3","4.6","-75","0","-79.8","0","0","0","0","0","0"
"1555348965170","04/15/19  17:22:45.170   ","5.14","-28.6","2.514","14.1","1.5","1.806","100","12.29","2.42","0.53","5.45","1.33","1.31","0.34","0.22","0","0.52","0","0","0","0","0","0","-29.5","-79.4","-64.2","-58.6","118.1","46.1","-56.6","3.1","-36.9","0","-87.7","0","0","0","0","0","0"
"1555348966347","04/15/19  17:22:46.347   ","5.06","-28.9","2.528","14.5","1.4","1.793","100","12.63","0.27","1.16","5.04","1.19","0.6","0.47","0.25","0","0.31","0","0","0","0","0","0","-29.6","128.9","-9.6","86.6","116.1","-114.9","-46.7","-129.9","0","0","-77.5","0","0","0","0","0","-49"
"1555348967156","04/15/19  17:22:47.156   ","5.11","-27.2","2.545","13.8","1.4","1.808","100","12.51","0.58","1.25","5.31","1.11","0.74","0.5","0.3","0","0.33","0","0","0","0","0","0","-29.3","142.5","-48","107.6","108.7","-88.8","-38.5","-116.2","0","0","-83.2","0","0","0","0","0","-60.2"
"1555348968343","04/15/19  17:22:48.343   ","5.14","-29.8","2.53","14.4","1.5","1.726","100","12.75","1.1","1.12","5.05","1.31","0.67","0.45","0.28","0","0.43","0","0","0","0","0","0","-29.2","-21.1","-90.9","-78.1","109.5","113.5","-118.1","85.1","92.1","0","-73.5","0","0","0","0","0","0"
"1555348969162","04/15/19  17:22:49.162   ","5.06","-28.3","2.535","14.1","1.4","1.745","100","12.67","0.62","1.36","5.24","1.25","0.64","0.5","0.33","0","0.37","0","0","0","0","0","0","-28.6","-8","-106.1","-79.9","113.5","132.2","-99","106.7","118.9","0","-82.2","0","0","0","0","0","0"
"1555348970348","04/15/19  17:22:50.348   ","5.18","-29.3","2.53","14.5","1.5","1.737","100","13.3","2.17","0.55","4.81","1.52","0.85","0.53","0.3","0","0.44","0","0","0","0","0","0","-27.4","-166.2","-128.6","99.3","116.8","-22.6","-93.5","-37.4","160.6","0","-95.5","0","0","0","0","0","0"
"1555348971166","04/15/19  17:22:51.166   ","5.11","-29.3","2.536","14.6","1.5","1.725","100","12.92","1.46","1","4.76","1.29","0.66","0.5","0.3","0","0.4","0","0","0","0","0","0","-27.2","-154.7","-115","99.2","116.9","-7.4","-90.5","-28.2","-172.9","0","-74.1","0","0","0","0","0","0"
"1555348972349","04/15/19  17:22:52.349   ","5.17","-27.7","2.556","13.8","1.4","1.767","100","13.42","2.26","0.36","4.57","1.56","1.1","0.55","0.31","0","0.34","0","0","0","0","0","0.2","-27.8","41.4","-88","-91.4","114.4","-174.5","-88.9","161.2","-157.2","0","-67.9","0","0","0","0","0","-52.4"
"1555348973173","04/15/19  17:22:53.173   ","5.18","-29.6","2.539","14.2","1.5","1.736","100","13.41","2.2","0.48","4.43","1.62","0.83","0.5","0.38","0","0.38","0","0","0","0","0","0.22","-27.9","51.6","-81.9","-103","114.1","-164.6","-80.5","174.8","-137.7","0","-68.2","0","0","0","0","0","-50.7"
"1555348974393","04/15/19  17:22:54.393   ","5.11","-28.5","2.535","14.3","1.5","1.766","100","13.56","2.65","0.31","4.6","1.62","0.84","0.55","0.22","0","0.42","0","0","0","0","0","0","-27.9","-115.4","-82.6","41.2","116.3","26.2","-71.1","5","-117.4","0","-67.9","0","0","0","0","0","0"
"1555348975163","04/15/19  17:22:55.163   ","5.19","-29.6","2.544","14.2","1.5","1.769","100","13.54","2.6","0.34","4.72","1.63","0.91","0.55","0.22","0","0.38","0","0","0","0","0","0","-28.3","-107.7","-77.5","13.5","114.1","29.9","-77.1","10.9","-93","0","-59.6","0","0","0","0","0","0"
"1555348976379","04/15/19  17:22:56.379   ","5.09","-27.3","2.564","13.8","1.4","1.82","100","13.61","1.13","1.11","4.05","1.29","0.99","0.31","0","0","0.31","0","0","0","0","0","0.24","-29","84.7","-58.2","168","108.6","-139.6","-70.8","-166","-99","-171.1","-90.9","0","0","0","0","0","-62.7"
"1555348977163","04/15/19  17:22:57.163   ","5.21","-28.4","2.555","14.4","1.5","1.82","100","12.63","1.89","0.29","5.14","1.51","1.57","0.42","0.33","0.2","0.26","0","0","0","0","0","0","-29.3","92","-53.8","166.5","111.5","-141.2","-67.3","-167.5","-97.6","-160.9","-99.1","0","0","0","0","0","0"
"1555348978489","04/15/19  17:22:58.489   ","5.11","-28.3","2.548","14.3","1.5","1.758","100","13.68","2.65","0.28","4.64","1.62","0.83","0.55","0.22","0","0.38","0","0","0","0","0","0","-28","-112.5","-80.1","18.5","114.8","26.7","-73.5","12.3","-97.9","0","-59.3","0","0","0","0","0","0"
"1555348979173","04/15/19  17:22:59.173   ","5.17","-28","2.552","14","1.5","1.795","100","13.27","1.97","0.7","4.79","1.06","1.06","0.39","0","0","0.47","0","0","0","0","0","0","-29.4","-67.5","-48.4","-91.8","124.5","50.4","-48.4","13.5","0","0","-67.1","0","0","0","0","0","0"
"1555348980646","04/15/19  17:23:00.646   ","5.24","-28.1","2.581","14.3","1.5","1.697","100","12.93","0.98","1.13","4.86","1.3","0.5","0.5","0.37","0","0.38","0","0","0","0","0","0","-26.3","13.4","-112.3","-84.8","116.4","159.2","-90.5","125.6","144.2","0","-65.7","0","0","0","0","0","0"
