"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","3945","4201"
"1555351498415","04/15/19  18:04:58.415   ","8.31","-149.8","3.794","14.4","2.5","2.224","100","11.2","5.89","0.88","2.98","0.98","1.57","0.56","2.47","0","1.57","0","0.51","0","0.24","0","1.55","-149.4","135.1","-61.2","125.1","-0.7","175.3","-8.7","-98.6","-95.7","0","-118.7","0","157.3","0","-85","0","-143.7"
"1555351499507","04/15/19  18:04:59.507   ","8.35","-149.8","3.81","14.2","2.4","2.244","100","10.99","6.57","0.77","3","1.05","1.1","0.39","2.74","0","1.79","0","0.6","0","0.29","0","1.52","-149.4","103.4","-54","126.2","-3.5","118.2","-20.1","-133.1","-93.2","0","-121.1","0","178.8","0","-62.1","0","-144.4"
"1555351500396","04/15/19  18:05:00.396   ","8.36","-149.5","3.826","14.3","2.4","2.149","100","11.35","7.6","0.56","3.04","1.06","1.57","0.55","2.59","0.27","1.61","0","0.61","0","0.38","0","1.64","-150.4","-132.2","-57.5","77.9","-5.7","-129.4","-31.8","-19.2","-84.7","40.6","-117.4","0","173.1","0","-93.7","0","-146.9"
"1555351501507","04/15/19  18:05:01.507   ","8.32","-149.8","3.836","14.4","2.5","2.146","100","11.35","7.03","0.37","3.2","0.95","1.75","0.54","2.44","0","1.51","0","0.6","0","0.44","0","1.64","-150.1","-165.3","-62.9","79.1","5.6","-155.2","-32.7","-64.8","-91.4","0","-118.3","0","169.6","0","-72.2","0","-147.9"
"1555351502433","04/15/19  18:05:02.433   ","8.31","-149.7","3.83","14.2","2.5","2.216","100","11.19","6.71","0.94","2.6","1.04","1.36","0.65","2.55","0","1.51","0","0.48","0","0.38","0","1.7","-149.6","-42.3","-64.5","-48.1","-3.2","-1.6","-8.7","62.2","-100.1","0","-117.7","0","-168.5","0","-84.7","0","-147.7"
"1555351503496","04/15/19  18:05:03.496   ","8.28","-149.9","3.814","13.7","2.3","2.278","100","11.11","7.58","0.57","2.83","1.05","0.96","0.62","2.39","0","1.33","0","0.54","0","0.4","0","1.77","-150","-78","-59.8","-32.1","-7.2","-54.2","-20.2","34.5","-93.9","0","-119.9","0","-172.3","0","-71","0","-150.2"
"1555351504460","04/15/19  18:05:04.460   ","8.26","-150.2","3.82","13.8","2.3","2.247","100","10.99","7.8","0.52","3.15","1.09","1.59","0.54","2.48","0","1.51","0","0.77","0","0.42","0","1.64","-150","-7","-65.9","-101.6","-4.9","4.7","-36.3","96.3","-94.9","0","-115.9","0","151.6","0","-101.1","0","-145.9"
"1555351505630","04/15/19  18:05:05.630   ","8.37","-150.2","3.813","13.7","2.4","2.285","100","11.21","6.61","0.99","2.67","0.96","1.46","0.64","2.3","0","1.59","0","0.36","0","0.28","0","1.75","-149.4","-45.4","-63.4","-46.5","-3.3","-4.3","-13.5","15.6","-96.6","0","-115.9","0","164.1","0","-91.1","0","-145.6"
"1555351506402","04/15/19  18:05:06.402   ","8.32","-149.8","3.79","14.4","2.4","2.365","100","11.23","5.74","0.84","3.05","0.98","1.66","0.53","2.43","0","1.64","0","0.65","0","0.33","0","1.55","-149.5","132.3","-61.4","124.2","-0.1","172.3","-12.6","-108.4","-97.8","0","-118.7","0","162","0","-109.4","0","-145.5"
