"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1555348578399","04/15/19  17:16:18.399   ","1555348578399","04/15/19  17:16:18.399   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,13,10,6,2,0,-2,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-14,-12,-9,-5,-2,1,3,5,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15"
"1","0","1555348582403","04/15/19  17:16:22.403   ","1555348582403","04/15/19  17:16:22.403   ","0","0","0","0","29703","0","64","512","50.03","0.3122","150.71","4095","0","0","0","12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,6,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-12,-9,-5,-1,1,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15"
"2","0","1555348584512","04/15/19  17:16:24.512   ","1555348584512","04/15/19  17:16:24.512   ","0","0","0","0","29703","0","64","512","50.04","0.3122","150.71","4095","0","0","0","12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15"
"3","0","1555348586403","04/15/19  17:16:26.403   ","1555348586403","04/15/19  17:16:26.403   ","0","0","0","0","29703","0","64","512","50.04","0.3122","150.71","4095","0","0","0","12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-5,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,9,10,11,12,13,15,16,16,15"
"4","0","1555348588403","04/15/19  17:16:28.403   ","1555348588403","04/15/19  17:16:28.403   ","0","0","0","0","29703","0","64","512","50.05","0.312","150.71","4095","0","0","0","12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,7,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15"
"5","0","1555348590407","04/15/19  17:16:30.407   ","1555348590407","04/15/19  17:16:30.407   ","0","0","0","0","29703","0","64","512","50.06","0.312","150.71","4095","0","0","0","12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,12,13,15,15,15,15"
"6","0","1555348592646","04/15/19  17:16:32.646   ","1555348592646","04/15/19  17:16:32.646   ","0","0","0","0","29703","0","64","512","50.08","0.312","150.71","4095","0","0","0","12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-14,-11,-7,-4,0,2,4,6,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14"
"7","0","1555348594405","04/15/19  17:16:34.405   ","1555348594405","04/15/19  17:16:34.405   ","0","0","0","0","29703","0","64","512","50.08","0.312","150.71","4095","0","0","0","12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-8,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-8,-4,0,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,9,9,8,9,9,10,11,12,14,15,16,16,14"
"8","0","1555348596444","04/15/19  17:16:36.444   ","1555348596444","04/15/19  17:16:36.444   ","0","0","0","0","29703","0","64","512","50.08","0.312","150.71","4095","0","0","0","12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14,12,8,5,1,-1,-3,-4,-5,-6,-6,-7,-7,-6,-6,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-12,-13,-14,-15,-15,-13,-11,-7,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,8,9,8,9,9,10,11,13,14,15,16,16,14"
"9","0","1555348598549","04/15/19  17:16:38.549   ","1555348598549","04/15/19  17:16:38.549   ","0","0","0","0","29703","0","64","512","50.08","0.312","150.71","4095","0","0","0","12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15,12,9,5,2,-1,-3,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-13,-14,-15,-15,-14,-11,-8,-4,-1,2,4,5,6,7,7,8,8,7,7,8,8,8,8,8,8,9,8,9,9,10,11,12,14,15,16,16,15"
