"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1555423885203","04/16/19  14:11:25.203   ","1555423885203","04/16/19  14:11:25.203   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57,55,50,47,50,57,62,60,50,42,37,40,47,45,38,31,23,9,-3,-10,-14,-29,-42,-49,-55,-54,-53,-34,-36,-41,-44,-51,-54,-53,-48,-45,-47,-58,-63,-57,-49,-41,-37,-40,-47,-46,-37,-31,-23,-7,0,11,15,32,45,52,56,54,53,33,37,42,46,51,57"
"1","0","1555423887212","04/16/19  14:11:27.212   ","1555423887212","04/16/19  14:11:27.212   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51,57,53,50,48,51,60,60,58,50,41,38,43,48,45,37,29,21,6,-2,-9,-17,-31,-45,-51,-55,-53,-51,-34,-37,-41,-45,-51,-56,-52,-48,-45,-49,-58,-60,-56,-49,-42,-35,-43,-47,-44,-38,-31,-21,-6,3,11,16,33,45,53,57,53,52,34,39,42,48,51"
"2","0","1555423889205","04/16/19  14:11:29.205   ","1555423889205","04/16/19  14:11:29.205   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53,54,57,50,49,48,58,62,60,51,45,37,39,49,47,40,34,25,11,-1,-8,-18,-25,-40,-49,-55,-56,-55,-33,-35,-40,-44,-50,-53,-54,-51,-46,-49,-57,-61,-58,-49,-43,-38,-37,-49,-48,-39,-33,-25,-9,2,9,15,27,41,51,56,56,57,33,33,43,44,53"
"3","0","1555423891211","04/16/19  14:11:31.211   ","1555423891211","04/16/19  14:11:31.211   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47,57,63,62,64,59,64,75,80,78,72,64,62,64,71,70,62,51,44,29,16,5,-2,-15,-29,-41,-48,-49,-51,-31,-35,-43,-46,-55,-61,-61,-60,-60,-62,-74,-79,-76,-71,-63,-60,-64,-70,-69,-61,-51,-45,-28,-14,-4,3,15,31,43,50,50,52,30,34,48,47"
"4","0","1555423893215","04/16/19  14:11:33.215   ","1555423893215","04/16/19  14:11:33.215   ","0","0","0","0","29703","0","64","512","49.98","0.3126","150.71","4095","0","0","0","45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42,45,51,56,56,49,45,50,59,63,58,47,44,39,42,47,44,40,31,22,8,-3,-9,-15,-30,-41,-50,-55,-54,-54,-30,-40,-41,-41,-53,-54,-51,-52,-45,-49,-59,-62,-56,-46,-43,-39,-41,-47,-44,-39,-34,-23,-8,2,11,15,30,43,52,57,55,55,33,36,42"
"5","0","1555423895211","04/16/19  14:11:35.211   ","1555423895211","04/16/19  14:11:35.211   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42,42,48,52,55,53,49,45,50,60,62,56,48,44,38,42,48,45,36,30,22,5,-3,-10,-16,-29,-44,-51,-55,-54,-51,-33,-37,-41,-44,-50,-55,-53,-47,-44,-48,-58,-61,-56,-48,-42,-37,-42,-47,-45,-36,-30,-20,-4,4,11,18,33,45,53,57,54,53,33,42"
"6","0","1555423897210","04/16/19  14:11:37.210   ","1555423897210","04/16/19  14:11:37.210   ","0","0","0","0","29703","0","64","512","49.96","0.3126","150.71","4095","0","0","0","37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32,37,42,46,51,55,54,52,47,49,59,62,59,51,45,37,40,47,47,41,32,23,12,-1,-7,-16,-25,-40,-50,-58,-55,-55,-33,-35,-40,-45,-49,-54,-55,-50,-46,-48,-57,-61,-59,-50,-43,-37,-40,-47,-46,-40,-33,-24,-11,2,11,16,27,41,50,56,56,56,32"
"7","0","1555423899397","04/16/19  14:11:39.397   ","1555423899397","04/16/19  14:11:39.397   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48,34,41,43,49,54,56,53,48,47,55,60,62,55,43,43,39,45,49,42,35,29,17,5,-8,-11,-25,-34,-47,-53,-56,-54,-44,-33,-38,-43,-48,-52,-54,-52,-47,-45,-53,-60,-61,-54,-41,-43,-37,-44,-48,-42,-35,-29,-17,-3,9,14,26,36,49,54,58,55,48"
"8","0","1555423901208","04/16/19  14:11:41.208   ","1555423901208","04/16/19  14:11:41.208   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55,42,34,40,45,49,54,55,52,47,46,54,61,60,53,45,40,38,46,48,41,35,26,14,3,-9,-13,-27,-35,-47,-53,-57,-54,-40,-34,-38,-44,-49,-54,-54,-50,-47,-44,-55,-61,-60,-52,-42,-40,-37,-45,-48,-41,-34,-27,-13,-1,7,14,26,37,48,55,58,55"
"9","0","1555423903212","04/16/19  14:11:43.212   ","1555423903212","04/16/19  14:11:43.212   ","0","0","0","0","29703","0","64","512","49.99","0.3124","150.71","4095","0","0","0","55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57,55,48,33,39,44,50,54,56,52,46,48,54,58,62,57,46,43,36,47,48,43,37,26,17,4,-6,-13,-23,-37,-47,-52,-56,-53,-47,-33,-38,-44,-48,-52,-55,-51,-46,-46,-52,-59,-57,-54,-45,-46,-33,-44,-50,-43,-35,-28,-16,-5,6,13,26,37,47,53,57"
