"DoubleTime","StringTime","I1 Mag","I1 Ang","kW","I1 THD","I1 TDD","kvar","I1 %HD01","I1 %HD02","I1 %HD03","I1 %HD04","I1 %HD05","I1 %HD06","I1 %HD07","I1 %HD08","I1 %HD09","I1 %HD10","I1 %HD11","I1 %HD12","I1 %HD13","I1 %HD14","I1 %HD15","I1 %HD16","I1 %HD17","I1 H01 ANG","I1 H02 ANG","I1 H03 ANG","I1 H04 ANG","I1 H05 ANG","I1 H06 ANG","I1 H07 ANG","I1 H08 ANG","I1 H09 ANG","I1 H10 ANG","I1 H11 ANG","I1 H12 ANG","I1 H13 ANG","I1 H14 ANG","I1 H15 ANG","I1 H16 ANG","I1 H17 ANG"
"0","                         ","33808","35856","15","5388","6924","271","28","284","540","796","1052","1308","1564","1820","2076","2332","2588","2844","3100","3356","3612","3868","4124","104","360","616","872","1128","1384","1640","1896","2152","2408","2664","2920","3176","3432","3688","3944","4200"
"1555423376322","04/16/19  14:02:56.322   ","1.55","-20.4","0.54","27.8","0.9","0.334","100","0","21.22","0","12.23","0.22","2.13","0","11.87","0.2","2.96","0.26","1.99","0.26","0.96","0","2.74","-20.3","-103.8","-52.8","-110.3","-133.9","0","135.8","-146.2","-40.6","0","81.9","0","147.3","0","-110.7","0","105.7"
"1555423377348","04/16/19  14:02:57.348   ","1.55","-20.6","0.544","27.2","0.9","0.34","100","0","20.81","0.23","12.36","0","1.92","0","10.98","0.25","2.16","0.21","1.75","0.27","0.59","0","2.84","-20.5","-54.2","-53.1","0","-135.1","-110.3","144","0","-43.4","0","77.8","-137.7","89.7","174.5","-129.3","0","98"
"1555423378164","04/16/19  14:02:58.164   ","1.56","-20.5","0.544","27.1","0.8","0.339","100","0.26","20.63","0","12.49","0.22","1.6","0","11.09","0","2.39","0.25","1.27","0","0.65","0.2","2.59","-20.5","-72","-51.8","0","-134.2","-109.8","141.6","0","-42.5","0","85.9","0","122.6","0","-114.6","0","92.9"
"1555423379366","04/16/19  14:02:59.366   ","1.56","-20.5","0.546","26.8","0.8","0.337","100","0.33","20.81","0","12.03","0","2.1","0","11.67","0.24","2.14","0.33","2.02","0","1.01","0.37","2.63","-20.6","-48.3","-52.5","0","-133.1","-71.9","122.1","0","-44","0","83.1","-173.4","126.2","-133.2","-138.7","104.2","107.3"
"1555423380158","04/16/19  14:03:00.158   ","1.55","-20.4","0.542","27.6","0.9","0.338","100","0.31","21.13","0.43","12.17","0","1.94","0","11.76","0.2","2.42","0.35","2.13","0.34","1.44","0","2.85","-20.5","-77.2","-53.2","-56.9","-133.7","0","126.8","-82.2","-43.3","163.3","76","154.3","116.3","0","-126.6","0","109.6"
"1555423381359","04/16/19  14:03:01.359   ","1.56","-20.6","0.547","27.2","0.8","0.335","100","0.47","20.44","0.21","12.29","0.27","1.91","0","11.15","0.2","1.31","0","1","0.29","0.99","0","2.83","-20.3","-93.4","-52","-59.2","-133","0","133.4","0","-43.9","0","77.9","-176.8","119.5","-168.7","-145","0","109.2"
"1555423382167","04/16/19  14:03:02.167   ","1.55","-20.4","0.542","27.4","0.9","0.337","100","0.31","20.99","0.24","12.51","0.27","1.74","0","10.78","0","2.42","0.22","1.4","0","0.91","0.25","3.01","-20.5","-66.1","-52.2","-99.8","-132.8","-134.1","141.9","-49.3","-42.4","0","87.6","-140","116.2","-30.7","-124.1","137.9","95.6"
"1555423383347","04/16/19  14:03:03.347   ","1.56","-20.5","0.543","27.1","0.9","0.337","100","0.45","20.94","0.33","11.98","0.29","1.96","0.25","11.47","0","2.08","0.27","1.89","0.31","1.18","0","2.79","-20.6","-66.3","-52.2","-26.7","-133.8","-113.3","127.7","-31.2","-42.1","0","78.7","-150","122.7","111","-135.9","0","112.3"
"1555423384168","04/16/19  14:03:04.168   ","1.55","-20.3","0.547","27.1","0.8","0.337","100","0.47","20.9","0.38","12.24","0.23","2","0","10.86","0","2.01","0","1.7","0.27","0.91","0.22","2.5","-20.4","-83.4","-52.3","-73.7","-133.2","-120.7","127.9","-25.5","-42.3","126.5","102","0","114.6","-147.8","-143.9","0","105"
