"FIND_KEY","Sequence","DoubleTimeStart","StringTimeStart","DoubleTimeTrigg","StringTimeTrigg","SeriesNo","RecordNo","EvtType","EvtSeq","PointID","TrigPoint","PointsPerCycle","PointsPerRecord","SampleFreq","SampleRate","Scale","ScaleAD","ZeroOffs","HWDelay","SWDelay","Data"
"0","0","1555424707575","04/16/19  14:25:07.575   ","1555424707575","04/16/19  14:25:07.575   ","0","0","0","0","29703","0","64","512","50.02","0.3122","150.71","4095","0","0","0","8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8,8,9,10,11,12,13,15,16,17,16,14,11,7,4,1,-1,-3,-5,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-14,-15,-15,-15,-13,-10,-6,-3,0,2,4,5,6,7,7,8,8,7,8,8,8,8,8,8,9,8"
"1","0","1555424709579","04/16/19  14:25:09.579   ","1555424709579","04/16/19  14:25:09.579   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-14,-12,-8,-5,-1,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8"
"2","0","1555424711569","04/16/19  14:25:11.569   ","1555424711569","04/16/19  14:25:11.569   ","0","0","0","0","29703","0","64","512","50.01","0.3124","150.71","4095","0","0","0","8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8,8,8,9,9,10,11,12,13,15,16,17,16,15,12,8,4,1,-1,-3,-4,-5,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-8,-9,-10,-11,-12,-13,-15,-15,-15,-13,-10,-7,-3,0,2,4,5,6,7,7,8,7,7,7,8,8,8,8,8"
"3","0","1555424713579","04/16/19  14:25:13.579   ","1555424713579","04/16/19  14:25:13.579   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,12,14,15,16,17,16,14,10,7,3,0,-2,-3,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-8,-7,-8,-9,-9,-10,-12,-13,-14,-15,-16,-15,-12,-9,-5,-2,1,3,4,5,7,7,8,8,7,7,8,8,8,8"
"4","0","1555424715573","04/16/19  14:25:15.573   ","1555424715573","04/16/19  14:25:15.573   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8,8,8,8,8,8,9,10,11,11,13,14,16,16,17,15,12,9,5,2,-1,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-7,-8,-9,-10,-11,-12,-13,-14,-15,-15,-14,-11,-8,-4,-1,1,3,5,6,7,7,7,8,7,8,8,8,8"
"5","0","1555424717568","04/16/19  14:25:17.568   ","1555424717568","04/16/19  14:25:17.568   ","0","0","0","0","29703","0","64","512","49.99","0.3126","150.71","4095","0","0","0","8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,16,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8"
"6","0","1555424719563","04/16/19  14:25:19.563   ","1555424719563","04/16/19  14:25:19.563   ","0","0","0","0","29703","0","64","512","49.99","0.3126","150.71","4095","0","0","0","8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,6,7,7,8,7,7,8"
"7","0","1555424721574","04/16/19  14:25:21.574   ","1555424721574","04/16/19  14:25:21.574   ","0","0","0","0","29703","0","64","512","49.97","0.3126","150.71","4095","0","0","0","8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,16,17,16,13,10,6,3,0,-2,-3,-5,-6,-6,-7,-7,-7,-6,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-11,-12,-13,-14,-15,-15,-14,-12,-8,-5,-2,1,3,5,6,7,7,7,8,7,7"
"8","0","1555424723675","04/16/19  14:25:23.675   ","1555424723675","04/16/19  14:25:23.675   ","0","0","0","0","29703","0","64","512","49.98","0.3124","150.71","4095","0","0","0","7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7,7,8,8,8,8,8,8,8,8,9,9,10,11,13,14,15,17,17,16,14,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-8,-7,-7,-8,-9,-9,-10,-11,-13,-14,-15,-15,-14,-12,-9,-5,-2,1,3,4,6,7,7,7,8,7"
"9","0","1555424725566","04/16/19  14:25:25.566   ","1555424725566","04/16/19  14:25:25.566   ","0","0","0","0","29703","0","64","512","50","0.3124","150.71","4095","0","0","0","7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8,7,7,8,8,8,8,8,8,8,8,9,10,10,11,13,14,15,17,17,16,13,10,6,3,0,-2,-4,-5,-6,-6,-7,-7,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-8,-9,-9,-10,-12,-13,-14,-15,-15,-15,-12,-9,-5,-2,1,3,4,6,7,7,8,8"
