"DoubleTime","StringTime","I2 Mag","I2 Ang","kW","I2 THD","I2 TDD","kvar","I2 %HD01","I2 %HD02","I2 %HD03","I2 %HD04","I2 %HD05","I2 %HD06","I2 %HD07","I2 %HD08","I2 %HD09","I2 %HD10","I2 %HD11","I2 %HD12","I2 %HD13","I2 %HD14","I2 %HD15","I2 %HD16","I2 %HD17","I2 H01 ANG","I2 H02 ANG","I2 H03 ANG","I2 H04 ANG","I2 H05 ANG","I2 H06 ANG","I2 H07 ANG","I2 H08 ANG","I2 H09 ANG","I2 H10 ANG","I2 H11 ANG","I2 H12 ANG","I2 H13 ANG","I2 H14 ANG","I2 H15 ANG","I2 H16 ANG","I2 H17 ANG"
"0","                         ","34064","36112","15","5644","7180","271","29","285","541","797","1053","1309","1565","1821","2077","2333","2589","2845","3101","3357","3613","3869","4125","105","361","617","873","1129","1385","1641","1897","2153","2409","2665","2921","3177","3433","3689","3945","4201"
"1555424193367","04/16/19  14:16:33.367   ","4.22","-151.7","0.943","20.7","1.7","0.657","100","0.4","13.58","0.3","8.43","0","2.43","0","12.1","0","2.69","0","1.44","0","0.81","0","2.18","-151.7","168.2","-56.2","0.9","-23","0","7.1","0","-55.1","0","-150.6","0","-70","0","-106.4","0","-164.5"
"1555424194364","04/16/19  14:16:34.364   ","4.23","-151.8","0.944","20.8","1.8","0.655","100","0.53","13.69","0.3","8.34","0","2.24","0","12.11","0","2.5","0","1.05","0","0.76","0","2.14","-151.7","-129","-56","11.8","-22.3","0","8.5","0","-54.8","0","-157.1","0","-72.7","0","-98","0","-166.7"
"1555424195360","04/16/19  14:16:35.360   ","4.23","-151.7","0.942","20.8","1.7","0.647","100","0","13.66","0","8.38","0.24","2.51","0","12.22","0","2.61","0","1.4","0","0.85","0","2.23","-151.6","0","-56.9","0","-21.7","106.5","9.5","0","-54.8","0","-155.7","0","-76.9","0","-98.7","0","-164.2"
"1555424196344","04/16/19  14:16:36.344   ","4.22","-151.7","0.946","20.8","1.8","0.66","100","0.5","13.67","0.27","8.57","0","2.55","0","12.02","0","3.12","0","1.57","0","0.62","0","2.07","-151.8","-173.9","-55.9","-9.3","-22.2","0","7.3","0","-53.5","0","-152.2","0","-67.6","0","-87.1","0","-165.5"
"1555424197351","04/16/19  14:16:37.351   ","4.23","-151.8","0.944","20.8","1.8","0.651","100","0.54","13.61","0.36","8.43","0.21","2.48","0","12.21","0","3","0","1.53","0","0.79","0","2.37","-151.8","-98","-56.4","-3.5","-21.4","113","14.7","0","-57.6","0","-147.1","0","-67.5","0","-97.4","0","-163.6"
"1555424198324","04/16/19  14:16:38.324   ","4.23","-151.8","0.944","20.6","1.7","0.659","100","0","13.69","0.23","8.34","0.2","2.49","0","12.11","0","2.64","0.31","1.29","0","0.72","0","2.48","-151.7","0","-56.1","-12.6","-22.3","107.4","8.8","0","-55.1","0","-152.4","-147.3","-69.7","0","-93.3","0","-171.6"
"1555424199349","04/16/19  14:16:39.349   ","4.22","-151.6","0.943","20.7","1.7","0.656","100","0.64","13.65","0.28","8.52","0.25","2.48","0","11.91","0","2.86","0.21","1.6","0","0.74","0","2.44","-151.7","-156.9","-56.5","-19.7","-22.7","128.5","6","0","-54.3","0","-156.8","-126.4","-65.9","0","-99.6","0","-167.3"
"1555424200325","04/16/19  14:16:40.325   ","4.23","-151.7","0.941","20.8","1.8","0.656","100","0.36","13.78","0.31","8.39","0","2.34","0","12.27","0","2.93","0","1.62","0","0.81","0","1.93","-151.9","-56.1","-56.3","-3.3","-22.1","0","-5.4","0","-53.4","0","-156.4","0","-64","0","-99.1","0","-166.4"
"1555424201360","04/16/19  14:16:41.360   ","4.22","-151.7","0.941","20.9","1.7","0.651","100","0","13.63","0.4","8.52","0","2.41","0","11.9","0.2","2.72","0","1.07","0","0.86","0","2.37","-151.7","0","-55.9","-22.6","-22.8","0","12","0","-55.5","73.6","-160.2","0","-88","0","-109.2","0","-170.6"
